moisture	avg	smoch	horni	spodni	time
0.564082594	0.553732143	0.005711801	0.559443944	0.548020342	6.277606917
0.563930703	0.55363179	0.005405837	0.559037627	0.548225953	6.314835633
0.563502402	0.552774672	0.006770254	0.559544926	0.546004418	6.35221725
0.564946065	0.552226513	0.006721633	0.558948146	0.545504879	6.389487117
0.564117133	0.552658854	0.006546401	0.559205255	0.546112453	6.426855083
0.564870119	0.554789967	0.005750817	0.560540784	0.54903915	6.46413785
0.563944439	0.554156808	0.005651774	0.559808582	0.548505034	6.50140325
0.562873736	0.554566008	0.00535181	0.559917818	0.549214198	6.5388053
0.562804658	0.554604614	0.005480484	0.560085099	0.54912413	6.576159983
0.564117133	0.554504261	0.005530759	0.56003502	0.548973502	6.613560133
0.564517863	0.553570043	0.006559535	0.560129578	0.547010507	6.651106983
0.563529973	0.552867348	0.005758692	0.55862604	0.547108657	6.688550867
0.564331333	0.549917835	0.007492353	0.557410188	0.542425482	6.725829217
0.564027352	0.550890771	0.006950738	0.557841509	0.543940033	6.76312385
0.563219124	0.551948595	0.00639251	0.558341105	0.545556085	6.800457583
0.563903032	0.552597107	0.00604201	0.558639117	0.546555097	6.837903717
0.563965242	0.552543037	0.005789553	0.55833259	0.546753484	6.875182767
0.563833955	0.551415789	0.006192179	0.557607967	0.54522361	6.912540983
0.563937571	0.552149301	0.006405711	0.558555012	0.54574359	6.94985575
0.564345169	0.552079766	0.006397515	0.55847728	0.545682251	6.987239617
0.562770119	0.553863425	0.005518235	0.55938166	0.548345191	7.024561417
0.562369489	0.552103018	0.005925052	0.55802807	0.546177966	7.061929167
0.563896164	0.554805432	0.005337431	0.560142863	0.549468	7.09922085
0.563053397	0.553531437	0.005507753	0.55903919	0.548023683	7.136546383
0.563157014	0.553075843	0.005235337	0.55831118	0.547840505	7.173844417
0.562659635	0.552998631	0.005410263	0.558408894	0.547588367	7.211164317
0.562811626	0.55338469	0.005538988	0.558923678	0.547845702	7.2485332
0.563025726	0.552427219	0.006113073	0.558540292	0.546314146	7.285805283
0.562659635	0.55294456	0.005829973	0.558774533	0.547114587	7.32309745
0.563184585	0.553299801	0.005595811	0.558895613	0.54770399	7.360366033
0.563039562	0.552033483	0.005749609	0.557783092	0.546283874	7.397716433
0.562728713	0.552705248	0.005572324	0.558277572	0.547132924	7.435084533
0.562321115	0.552473613	0.005498134	0.557971747	0.546975478	7.472752933
0.561879078	0.552458148	0.005907237	0.558365385	0.546550911	7.510125067
0.561575096	0.552519895	0.005687799	0.558207694	0.546832097	7.547415217
0.562542183	0.552388613	0.00622198	0.558610593	0.546166633	7.584695767
0.561195169	0.550628206	0.006582626	0.557210831	0.54404558	7.622049117
0.562473106	0.551794171	0.00606308	0.557857251	0.545731091	7.6594717
0.562037936	0.551099265	0.006453616	0.557552881	0.544645648	7.696921117
0.561879078	0.551261365	0.006315569	0.557576934	0.544945796	7.734199333
0.563564512	0.551948595	0.006204763	0.558153357	0.545743832	7.77149855
0.561381699	0.552072089	0.005793608	0.557865697	0.546278481	7.8088089
0.561906649	0.552998631	0.004993345	0.557991976	0.548005286	7.8461576
0.562224466	0.551724636	0.005839983	0.557564619	0.545884652	7.883469317
0.56181	0.551423465	0.00577904	0.557202505	0.545644426	7.9207997
0.562652668	0.549910158	0.006828392	0.55673855	0.543081767	7.95812425
0.562652668	0.54963224	0.007304308	0.556936549	0.542327932	7.99570065
0.561174466	0.550087723	0.006729885	0.556817608	0.543357838	8.03302805
0.561043179	0.551716959	0.006098693	0.557815652	0.545618267	8.070347533
0.562072475	0.552025806	0.006094203	0.55812001	0.545931603	8.10768125
0.562134585	0.552272795	0.006103713	0.558376508	0.546169082	8.144954483
0.559640923	0.550164935	0.006197503	0.556362438	0.543967432	8.182279267
0.561291918	0.551022053	0.006293473	0.557315526	0.54472858	8.219603633
0.561623471	0.550504712	0.00695396	0.557458671	0.543550752	8.256950583
0.560621845	0.549732593	0.006701974	0.556434568	0.543030619	8.294255483
0.560317864	0.550751812	0.005961989	0.556713801	0.544789822	8.331588583
0.560089928	0.549446888	0.006742648	0.556189536	0.542704239	8.368840233
0.561485315	0.549439211	0.006674744	0.556113955	0.542764466	8.4061855
0.561727087	0.551014265	0.005865799	0.556880064	0.545148466	8.44368135
0.560449151	0.548898728	0.007294336	0.556193064	0.541604393	8.48097095
0.560939562	0.5506746	0.006577851	0.557252451	0.544096749	8.518291817
0.559613252	0.55127683	0.005774056	0.557050886	0.545502774	8.555620233
0.562169124	0.551871383	0.005364623	0.557236006	0.54650676	8.592918233
0.560987937	0.550983447	0.005447888	0.556431336	0.545535559	8.63025315
0.56042148	0.550882983	0.005512988	0.55639597	0.545369995	8.667467683
0.560317864	0.548937334	0.006728874	0.555666208	0.54220846	8.704780817
0.561084685	0.54889094	0.007116161	0.556007102	0.541774779	8.742150517
0.560718494	0.548450811	0.007276287	0.555727098	0.541174524	8.779478933
0.560490558	0.548582093	0.006958748	0.555540841	0.541623345	8.816779367
0.56029716	0.54848174	0.00736272	0.55584446	0.54111902	8.8541053
0.560366238	0.548759658	0.006939898	0.555699556	0.54181976	8.89144015
0.560580339	0.550265288	0.005935692	0.55620098	0.544329596	8.928724267
0.560172841	0.549802017	0.00627353	0.556075548	0.543528487	8.966056333
0.559944904	0.548821516	0.006870088	0.555691605	0.541951428	9.003341433
0.561077718	0.549771199	0.006474826	0.556246026	0.543296373	9.040659117
0.561395534	0.546651798	0.007752035	0.554403833	0.538899763	9.0780736
0.559302403	0.54722321	0.006934778	0.554157988	0.540288432	9.115389833
0.560117598	0.54757834	0.0069413	0.55451964	0.540637039	9.1526755
0.560069224	0.548597558	0.006586736	0.555184293	0.542010822	9.190092017
0.559951772	0.546674939	0.007279004	0.553953944	0.539395935	9.2274371
0.559972476	0.547786834	0.00668216	0.554468994	0.541104673	9.264758133
0.560380073	0.547956722	0.006861609	0.55481833	0.541095113	9.302036367
0.560214247	0.547732763	0.006892772	0.554625535	0.540839991	9.339337283
0.559855024	0.54648191	0.007428546	0.553910455	0.539053364	9.376655083
0.561581964	0.547640087	0.007078169	0.554718256	0.540561918	9.41389385
0.559730704	0.548172893	0.006941758	0.555114651	0.541231135	9.4511711
0.56026949	0.547725086	0.006819723	0.554544809	0.540905364	9.488529633
0.559965608	0.546613192	0.00738155	0.553994742	0.539231642	9.525798733
0.559212622	0.546111315	0.007041189	0.553152504	0.539070126	9.563184183
0.55897085	0.548551275	0.006115305	0.55466658	0.54243597	9.600434867
0.559592549	0.547709622	0.006838434	0.554548055	0.540871188	9.6376496
0.559917233	0.548281034	0.0062289	0.554509933	0.542052134	9.674894383
0.558618594	0.548860122	0.00590458	0.554764702	0.542955542	9.712212117
0.557851773	0.548358246	0.006256233	0.554614478	0.542102013	9.749551267
0.558811991	0.547362169	0.006957985	0.554320153	0.540404184	9.786821733
0.558984686	0.548412205	0.006636867	0.555049072	0.541775338	9.8241162
0.55968233	0.547122857	0.007291625	0.554414482	0.539831232	9.861467567
0.558411361	0.543725426	0.008377817	0.552103243	0.535347608	9.89881595
0.558611627	0.546690404	0.007501154	0.554191558	0.539189249	9.936165583
0.558542549	0.547817763	0.006409031	0.554226794	0.541408732	9.973507033
0.558825827	0.547207745	0.006427164	0.553634909	0.540780581	10.01076843
0.558362987	0.547817763	0.006385573	0.554203335	0.54143219	10.04802658
0.560013982	0.546458768	0.006945955	0.553404723	0.539512814	10.08541043
0.559419855	0.54694518	0.006918211	0.553863392	0.540026969	10.12265723
0.559295535	0.546397021	0.007381718	0.553778739	0.539015303	10.15997513
0.559019224	0.545872003	0.007371391	0.553243394	0.538500612	10.1972958
0.559274831	0.547717299	0.006699476	0.554416774	0.541017823	10.23464647
0.55869454	0.546914362	0.006893548	0.55380791	0.540020815	10.27193953
0.558632429	0.547508916	0.006140176	0.553649092	0.541368739	10.3092082
0.558356119	0.547701945	0.005950803	0.553652748	0.541751142	10.34650782
0.558425197	0.546118992	0.006632518	0.55275151	0.539486474	10.38379402
0.560165873	0.547864045	0.006283091	0.554147137	0.541580954	10.42113587
0.559792914	0.545833397	0.007162623	0.552996021	0.538670774	10.45845852
0.558687672	0.546628657	0.006593334	0.55322199	0.540035323	10.49584043
0.559067599	0.54648191	0.006571176	0.553053085	0.539910734	10.53309537
0.558784321	0.545547691	0.006972493	0.552520184	0.538575198	10.57039703
0.558466603	0.544142414	0.007483075	0.551625489	0.536659339	10.60768632
0.557844905	0.543192731	0.007777646	0.550970377	0.535415085	10.64495988
0.557292284	0.544698361	0.007530259	0.55222862	0.537168102	10.68244688
0.55758243	0.545014885	0.007393122	0.552408007	0.537621763	10.71979332
0.557285416	0.545895144	0.006384459	0.552279603	0.539510686	10.75712408
0.557900147	0.545470479	0.006717392	0.552187871	0.538753088	10.79442322
0.557423571	0.546057245	0.006369003	0.552426248	0.539688242	10.83166238
0.557900147	0.54508442	0.007461407	0.552545827	0.537623013	10.86906548
0.557962357	0.54552455	0.007066649	0.552591199	0.538457901	10.90639077
0.556276823	0.543702284	0.007770022	0.551472307	0.535932262	10.94376937
0.556242284	0.544721503	0.0068324	0.551553903	0.537889103	10.98114793
0.557202503	0.545130703	0.00692224	0.552052943	0.538208463	11.01846407
0.55727158	0.544443585	0.007058946	0.55150253	0.537384639	11.05575655
0.555627453	0.544636614	0.007144982	0.551781596	0.537491632	11.09305928
0.555268329	0.543601931	0.007796167	0.551398098	0.535805765	11.13060983
0.556297526	0.543810425	0.007477329	0.551287755	0.536333096	11.1681184
0.556117964	0.542690854	0.008154238	0.550845093	0.534536616	11.20556003
0.555855489	0.546327486	0.006621742	0.552949228	0.539705744	11.24308427
0.55594527	0.54467522	0.006674185	0.551349405	0.538001035	11.28065627
0.55665675	0.546474233	0.006024407	0.552498639	0.540449826	11.31812997
0.555648256	0.546142244	0.006014483	0.552156727	0.540127761	11.3556686
0.557554759	0.545648044	0.006842403	0.552490447	0.538805641	11.39318288
0.555793279	0.544821856	0.007100995	0.551922851	0.53772086	11.43061685
0.556041919	0.544150091	0.007299	0.551449091	0.53685109	11.4680206
0.556546265	0.545316056	0.007311061	0.552627117	0.538004995	11.50557212
0.556076458	0.543339367	0.007721571	0.551060937	0.535617796	11.54305247
0.555337407	0.543277619	0.007777439	0.551055058	0.535500181	11.58052872
0.555109371	0.544219626	0.007123431	0.551343057	0.537096195	11.61795182
0.555475562	0.545485944	0.006578243	0.552064187	0.538907701	11.65548248
0.556173206	0.543694608	0.007538072	0.55123268	0.536156536	11.69294432
0.556836411	0.543547861	0.007598505	0.551146366	0.535949356	11.7305351
0.55573107	0.540899518	0.008304912	0.54920443	0.532594606	11.76800963
0.556000512	0.541926413	0.008416641	0.550343053	0.533509772	11.8055381
0.55443243	0.54072963	0.008165971	0.548895601	0.532563659	11.84296272
0.554660367	0.543362619	0.007260018	0.550622637	0.536102601	11.88049015
0.554833061	0.543995667	0.006381937	0.550377604	0.53761373	11.91798228
0.555178449	0.542119442	0.007411897	0.549531339	0.534707545	11.95557462
0.554625828	0.543246802	0.00687566	0.550122462	0.536371141	11.99296197
0.555226823	0.543601931	0.007228641	0.550830572	0.53637329	12.03129695
0.554411727	0.543748678	0.007305877	0.551054556	0.536442801	12.0688429
0.55378316	0.543393437	0.007148421	0.550541858	0.536245016	12.10646952
0.554874567	0.543239014	0.006813918	0.550052932	0.536425095	12.14399442
0.555620585	0.543879849	0.007079116	0.550958965	0.536800734	12.18149702
0.554971216	0.541957342	0.007528396	0.549485738	0.534428946	12.21895043
0.554867599	0.542304795	0.007616785	0.549921581	0.53468801	12.2565357
