avg	smoch	horni	spodni	time
71.29594092	7.444394476	78.7403354	63.85154645	7.77149855
71.4559404	7.400807217	78.85674762	64.05513319	7.8088089
71.63400776	7.421789276	79.05579703	64.21221848	7.8461576
71.79917016	7.447105318	79.24627548	64.35206484	7.883469317
71.94626784	7.40546848	79.35173632	64.54079936	7.9207997
72.14755733	7.366346094	79.51390343	64.78121124	7.95812425
72.29981715	7.295049677	79.59486683	65.00476747	7.99570065
72.50885103	7.35596038	79.86481141	65.15289065	8.03302805
72.73336817	7.390190615	80.12355878	65.34317755	8.070347533
72.8107892	7.364578481	80.17536768	65.44621072	8.10768125
73.06885511	7.334340087	80.4031952	65.73451503	8.144954483
73.21337133	7.288843598	80.50221493	65.92452773	8.182279267
73.2753091	7.318032357	80.59334146	65.95727674	8.219603633
73.45337331	7.30421685	80.75759016	66.14915646	8.256950583
73.71660214	7.292718841	81.00932098	66.4238833	8.294255483
73.79402081	7.214236773	81.00825759	66.57978404	8.331588583
74.02370009	7.221821201	81.24552129	66.80187889	8.368840233
74.10628011	7.197886394	81.30416651	66.90839372	8.4061855
74.31015107	7.213428129	81.5235792	67.09672294	8.44368135
74.46241167	7.214639743	81.67705141	67.24777193	8.48097095
74.60950935	7.196256668	81.80576602	67.41325268	8.518291817
74.74370287	7.170249765	81.91395263	67.57345311	8.555620233
75.01209306	7.166856318	82.17894937	67.84523674	8.592918233
75.00435182	7.167305101	82.17165692	67.83704672	8.63025315
75.27016054	7.135711202	82.40587174	68.13444934	8.667467683
75.3811272	7.12804294	82.50917014	68.25308426	8.704780817
75.54113061	7.143160122	82.68429074	68.39797049	8.742150517
75.70112931	7.104907929	82.80603724	68.59622138	8.779478933
75.86887239	7.03648687	82.90535926	68.83238552	8.816779367
75.96951949	7.073200073	83.04271957	68.89631942	8.8541053
76.11919706	6.991153993	83.11035106	69.12804307	8.89144015
76.29984273	7.054496862	83.35433959	69.24534587	8.928724267
76.45210176	6.976720423	83.42882218	69.47538134	8.966056333
76.53210347	6.950574778	83.48267825	69.58152869	9.003341433
76.76694409	6.945468395	83.71241249	69.8214757	9.040659117
76.89597626	6.918027579	83.81400384	69.97794868	9.0780736
77.09468901	6.904234686	83.9989237	70.19045433	9.115389833
